,car_id,date,env_temperature,env_humidity,tire_thickness_mm,brake_pad_thickness_mm,vibration_level,maintenance_needed
0,1,2022-01-01,11.08,87.02,7.732,9.304,4.63,0
1,1,2022-01-02,-2.2,76.28,7.688,9.281,4.15,0
2,1,2022-01-03,9.09,20.19,7.598,9.237,2.35,0
3,1,2022-01-04,18.23,59.42,7.565,9.221,6.25,0
4,1,2022-01-05,1.91,85.47,7.533,9.207,8.8,0
5,1,2022-01-06,31.75,62.52,7.466,9.172,4.55,0
6,1,2022-01-07,9.75,69.19,7.442,9.159,4.27,0
7,1,2022-01-08,5.49,52.68,7.42,9.148,7.31,0
8,1,2022-01-09,27.33,58.35,7.33,9.1,2.82,0
9,1,2022-01-10,37.36,22.27,7.233,9.052,10.22,0
10,1,2022-01-11,-1.59,38.18,7.143,9.008,7.1,0
11,1,2022-01-12,20.57,65.15,7.11,8.99,1.64,0
12,1,2022-01-13,21.01,87.76,7.043,8.955,7.48,0
13,1,2022-01-14,23.93,74.21,7.023,8.941,4.17,0
14,1,2022-01-15,3.42,57.07,6.937,8.9,3.11,0
15,1,2022-01-16,22.62,44.5,6.905,8.882,5.51,0
16,1,2022-01-17,21.53,22.03,6.857,8.858,4.82,0
17,1,2022-01-18,8.02,66.35,6.828,8.845,4.9,0
18,1,2022-01-19,5.05,28.04,6.761,8.811,5.1,0
19,1,2022-01-20,5.44,31.31,6.668,8.763,6.25,0
20,1,2022-01-21,35.52,63.57,6.617,8.74,4.2,0
21,1,2022-01-22,17.31,50.81,6.578,8.722,3.03,0
22,1,2022-01-23,-8.71,35.38,6.545,8.704,8.15,0
23,1,2022-01-24,16.18,77.62,6.515,8.685,5.64,0
24,1,2022-01-25,37.92,28.06,6.48,8.666,6.18,0
25,1,2022-01-26,30.76,49.53,6.382,8.615,9.25,0
26,1,2022-01-27,15.83,79.66,6.312,8.579,5.91,0
27,1,2022-01-28,10.87,26.47,6.288,8.565,5.07,0
28,1,2022-01-29,5.43,23.9,6.236,8.538,6.39,0
29,1,2022-01-30,34.49,43.53,6.195,8.518,6.61,0
30,1,2022-01-31,8.44,80.14,6.103,8.474,5.29,0
31,1,2022-02-01,7.74,75.43,6.077,8.461,4.48,0
32,1,2022-02-02,39.04,65.23,6.03,8.438,4.56,0
33,1,2022-02-03,29.1,87.17,5.97,8.406,5.51,0
34,1,2022-02-04,31.5,48.9,5.932,8.386,6.24,0
