,car_id,date,mileage,env_temperature,env_humidity,tire_thickness_mm,brake_pad_thickness_mm,oil_quality,engine_performance,vibration_level,engine_temperature,maintenance_needed
0,1,2022-01-01,1006,-2.2,30.92,7.659,11.756,94.58,91.96,5.16,72.55,0
1,1,2022-01-02,1085,36.93,20.05,7.581,11.718,94.58,91.93,6.63,71.18,0
2,1,2022-01-03,1184,-3.03,40.45,7.483,11.668,94.56,91.9,4.95,73.07,0
3,1,2022-01-04,1276,33.0,67.62,7.392,11.623,94.53,91.86,4.97,71.68,0
4,1,2022-01-05,1331,-8.28,83.65,7.336,11.596,94.5,91.84,4.08,72.81,0
5,1,2022-01-06,1424,32.11,51.48,7.242,11.549,94.47,91.84,6.55,72.23,0
6,1,2022-01-07,1484,7.84,39.67,7.184,11.519,94.42,91.82,1.87,71.99,0
7,1,2022-01-08,1511,-9.3,33.92,7.155,11.505,94.38,91.81,1.98,73.91,0
8,1,2022-01-09,1567,-6.82,41.77,7.098,11.475,94.33,91.78,5.72,72.19,0
9,1,2022-01-10,1600,28.04,59.29,7.058,11.46,94.29,91.76,2.16,73.9,0
10,1,2022-01-11,1642,15.43,83.53,7.014,11.437,94.21,91.73,5.59,73.79,0
11,1,2022-01-12,1689,4.78,27.38,6.968,11.413,94.15,91.7,3.6,72.6,0
12,1,2022-01-13,1785,1.4,49.9,6.878,11.364,94.11,91.68,5.91,72.78,0
13,1,2022-01-14,1856,6.16,56.32,6.806,11.329,94.1,91.66,5.12,75.41,0
14,1,2022-01-15,1876,-7.43,39.51,6.787,11.319,94.04,91.64,6.53,71.83,0
15,1,2022-01-16,1933,28.08,36.63,6.727,11.292,93.98,91.6,3.02,72.44,0
16,1,2022-01-17,2011,-7.96,61.36,6.648,11.254,93.94,91.57,5.86,70.56,0
17,1,2022-01-18,2087,31.89,67.3,6.573,11.216,93.87,91.55,7.73,75.6,0
18,1,2022-01-19,2118,2.09,26.52,6.54,11.2,93.83,91.53,6.63,73.56,0
19,1,2022-01-20,2170,32.82,48.32,6.489,11.174,93.78,91.52,8.73,73.59,0
20,1,2022-01-21,2222,22.6,35.7,6.437,11.148,93.74,91.51,6.73,74.09,0
21,1,2022-01-22,2300,5.4,57.98,6.362,11.11,93.67,91.49,7.42,73.7,0
22,1,2022-01-23,2383,15.13,60.38,6.279,11.068,93.56,91.48,4.98,73.41,0
23,1,2022-01-24,2439,3.98,81.84,6.224,11.039,93.52,91.45,7.09,72.9,0
24,1,2022-01-25,2483,5.85,31.86,6.178,11.017,93.46,91.44,2.39,72.52,0
25,1,2022-01-26,2535,4.76,42.58,6.125,10.992,93.45,91.41,1.9,72.77,0
26,1,2022-01-27,2561,20.58,25.71,6.096,10.979,93.37,91.38,5.46,73.49,0
27,1,2022-01-28,2646,6.9,46.29,6.007,10.937,93.34,91.37,4.17,73.93,0
28,1,2022-01-29,2725,-8.06,41.23,5.926,10.898,93.26,91.35,4.25,72.08,0
29,1,2022-01-30,2760,24.98,29.68,5.891,10.88,93.19,91.34,4.11,71.73,0
30,1,2022-01-31,2841,-6.08,21.77,5.809,10.839,93.17,91.32,4.05,72.76,0
31,1,2022-02-01,2861,17.46,70.02,5.785,10.828,93.15,91.3,7.53,72.72,0
32,1,2022-02-02,2949,-9.28,28.13,5.697,10.785,93.11,91.27,9.23,72.95,0
33,1,2022-02-03,3002,-7.6,86.44,5.644,10.757,93.02,91.25,6.14,73.64,0
34,1,2022-02-04,3053,37.21,80.7,5.593,10.731,92.94,91.24,9.27,71.58,0
35,1,2022-02-05,3105,37.07,47.03,5.543,10.705,92.9,91.23,4.16,73.44,0
36,1,2022-02-06,3132,20.91,43.56,5.513,10.692,92.88,91.22,8.9,73.52,0
37,1,2022-02-07,3187,7.42,85.57,5.457,10.665,92.87,91.18,8.74,75.25,0
38,1,2022-02-08,3230,26.58,28.94,5.414,10.642,92.81,91.17,3.27,74.39,0
39,1,2022-02-09,3262,8.89,57.4,5.383,10.625,92.76,91.16,8.82,74.68,0
40,1,2022-02-10,3306,12.42,40.52,5.341,10.603,92.68,91.14,5.18,73.74,0
41,1,2022-02-11,3365,31.92,49.83,5.283,10.573,92.66,91.13,3.56,73.46,0
42,1,2022-02-12,3458,28.86,59.09,5.191,10.527,92.62,91.11,7.54,74.46,0
43,1,2022-02-13,3540,19.17,87.35,5.111,10.486,92.62,91.08,1.21,74.29,0
44,1,2022-02-14,3595,-7.83,84.73,5.055,10.458,92.53,91.05,4.14,75.6,0
45,1,2022-02-15,3630,21.38,60.9,5.019,10.44,92.49,91.04,3.03,73.26,0
46,1,2022-02-16,3709,22.34,47.18,4.942,10.401,92.44,91.0,6.9,73.2,0
47,1,2022-02-17,3774,24.24,31.38,4.873,10.37,92.38,90.97,4.38,72.64,0
48,1,2022-02-18,3842,28.88,53.63,4.802,10.337,92.31,90.95,3.61,73.95,0
49,1,2022-02-19,3882,-8.16,29.37,4.762,10.317,92.27,90.93,2.86,73.72,0
50,1,2022-02-20,3963,37.7,62.43,4.681,10.276,92.22,90.91,7.55,73.8,0
51,1,2022-02-21,3987,5.39,77.15,4.658,10.261,92.14,90.89,7.3,74.45,0
52,1,2022-02-22,4044,35.16,63.21,4.598,10.231,92.11,90.87,5.72,75.66,0
53,1,2022-02-23,4093,12.55,83.73,4.547,10.207,92.06,90.84,4.44,72.31,0
54,1,2022-02-24,4189,39.0,54.48,4.45,10.16,92.0,90.85,9.68,72.9,0
55,1,2022-02-25,4212,10.02,68.84,4.428,10.149,91.95,90.82,3.03,74.53,0
56,1,2022-02-26,4236,-0.39,22.86,4.407,10.139,91.9,90.8,0.71,74.56,0
57,1,2022-02-27,4300,34.71,29.01,4.344,10.107,91.81,90.78,2.55,74.14,0
58,1,2022-02-28,4355,8.86,20.18,4.288,10.079,91.77,90.77,4.45,71.81,0
59,1,2022-03-01,4376,20.91,45.82,4.265,10.069,91.72,90.74,3.06,74.22,0
60,1,2022-03-02,4410,12.37,57.28,4.23,10.053,91.67,90.73,1.88,74.37,0
61,1,2022-03-03,4439,7.15,53.18,4.201,10.037,91.61,90.72,8.05,74.73,0
62,1,2022-03-04,4499,11.58,28.93,4.14,10.007,91.59,90.69,0.84,74.18,0
63,1,2022-03-05,4539,36.68,20.53,4.101,9.988,91.55,90.68,3.34,73.68,0
64,1,2022-03-06,4589,34.84,25.62,4.05,9.963,91.51,90.67,3.85,75.0,0
65,1,2022-03-07,4665,-1.46,66.81,3.974,9.923,91.43,90.65,3.18,74.92,0
66,1,2022-03-08,4685,26.81,57.09,3.957,9.912,91.4,90.63,10.57,72.69,0
67,1,2022-03-09,4714,-7.41,43.56,3.924,9.896,91.34,90.62,9.78,73.73,0
68,1,2022-03-10,4802,29.71,27.47,3.835,9.852,91.29,90.6,7.34,74.61,0
69,1,2022-03-11,4835,-3.01,75.67,3.801,9.835,91.25,90.58,6.48,74.62,0
70,1,2022-03-12,4872,5.81,61.18,3.764,9.816,91.21,90.59,7.1,73.55,0
71,1,2022-03-13,4957,15.14,36.25,3.678,9.773,91.18,90.56,5.33,74.98,0
72,1,2022-03-14,4991,6.75,29.75,3.644,9.755,91.12,90.53,6.94,75.16,0
73,1,2022-03-15,5076,-2.84,34.32,3.558,9.712,91.05,90.51,4.46,73.5,0
74,1,2022-03-16,5142,29.86,30.49,3.489,9.68,91.0,90.49,8.41,75.02,0
75,1,2022-03-17,5235,19.95,77.88,3.398,9.634,90.98,90.48,6.52,74.72,0
76,1,2022-03-18,5314,-3.04,27.06,3.321,9.594,90.95,90.45,3.75,74.03,0
77,1,2022-03-19,5334,-0.68,78.62,3.301,9.583,90.93,90.41,4.68,74.11,0
78,1,2022-03-20,5394,30.14,20.32,3.241,9.554,90.91,90.42,5.32,75.32,0
79,1,2022-03-21,5467,-8.36,83.89,3.168,9.519,90.85,90.4,7.16,72.73,0
80,1,2022-03-22,5535,21.61,20.92,3.101,9.486,90.74,90.38,5.03,74.6,0
81,1,2022-03-23,5586,0.5,82.86,3.045,9.461,90.67,90.36,1.7,75.37,0
82,1,2022-03-24,5643,25.7,56.94,2.989,9.432,90.63,90.35,3.34,75.61,1
83,1,2022-03-25,5717,34.87,56.86,2.914,9.396,90.58,90.33,3.59,73.98,1
84,1,2022-03-26,5790,23.59,21.38,2.839,9.361,90.53,90.3,6.72,75.36,1
85,1,2022-03-27,5855,39.44,62.22,2.775,9.328,90.5,90.27,6.19,74.44,1
86,1,2022-03-28,5897,-9.35,25.99,2.733,9.306,90.44,90.25,2.0,75.92,1
87,1,2022-03-29,5928,31.26,45.41,2.702,9.289,90.41,90.22,4.27,75.27,1
88,1,2022-03-30,6021,38.73,74.58,2.609,9.243,90.38,90.2,9.56,72.02,1
89,1,2022-03-31,6065,27.08,68.92,2.566,9.221,90.36,90.18,1.74,75.37,1
90,1,2022-04-01,6160,17.71,65.6,2.471,9.173,90.27,90.15,1.32,73.58,1
91,1,2022-04-02,6233,15.95,23.29,2.398,9.136,90.25,90.12,1.95,74.07,1
92,1,2022-04-03,6291,7.78,70.33,2.339,9.107,90.19,90.1,4.9,73.78,1
93,1,2022-04-04,6372,3.5,57.79,2.259,9.064,90.17,90.09,8.31,74.21,1
94,1,2022-04-05,6426,19.91,52.18,2.204,9.036,90.14,90.07,1.47,76.07,1
95,1,2022-04-06,6506,-5.42,84.21,2.123,8.995,90.11,90.04,7.57,75.64,1
96,1,2022-04-07,6597,26.21,64.61,2.032,8.952,90.05,90.02,5.54,73.7,1
97,1,2022-04-08,6623,35.77,22.38,2.005,8.939,89.98,90.0,4.07,75.9,1
98,1,2022-04-09,6673,31.45,22.59,1.953,8.916,89.91,89.98,-0.06,76.35,1
99,1,2022-04-10,6696,10.22,60.07,1.932,8.903,89.84,89.96,2.3,75.67,1
100,1,2022-04-11,6745,-8.78,80.91,1.881,8.879,89.79,89.95,1.79,75.67,1
101,1,2022-04-12,6769,9.91,26.42,1.861,8.867,89.73,89.92,1.82,75.77,1
102,1,2022-04-13,6803,35.52,23.16,1.824,8.851,89.66,89.9,4.9,75.84,1
103,1,2022-04-14,6874,20.67,31.69,1.753,8.816,89.62,89.88,4.74,74.69,1
104,1,2022-04-15,6899,-8.16,87.01,1.727,8.803,89.57,89.87,6.26,77.67,1
105,1,2022-04-16,6980,3.01,56.07,1.642,8.763,89.56,89.86,4.64,73.46,1
106,1,2022-04-17,7041,-7.78,79.65,1.58,8.731,89.53,89.84,1.5,73.98,1
107,1,2022-04-18,7078,2.99,70.64,1.544,8.713,89.48,89.81,10.05,74.73,1
108,1,2022-04-19,7137,31.23,44.35,1.488,8.683,89.43,89.78,6.87,75.71,1
109,1,2022-04-20,7201,33.36,69.59,1.422,8.649,89.35,89.76,4.67,75.47,1
110,1,2022-04-21,7251,6.76,72.05,1.373,8.624,89.28,89.76,4.43,74.48,1
111,1,2022-04-22,7340,-9.55,77.31,1.282,8.579,89.26,89.74,6.54,76.05,1
112,1,2022-04-23,7427,-1.31,73.96,1.193,8.537,89.21,89.73,7.39,73.87,1
